AveragePressure;AverageRelativeHumidity;DailyPrecipitation;MaximumTemperature;MinimumTemperature;WindSpeed
1015.54;79.63;0;30.4;13.8;11
1014.36;80.5;0;30.7;14.4;13
1012.86;79.63;0;29.1;14;17
1011.4;79.63;0;29.4;14;13
1011.76;75.13;0;30.7;13.7;9
1013.07;78.38;0;31;13.2;11
1012.87;81.63;0;29.7;17.6;15
1012.39;77.25;0;29.9;18.3;15
1012.9;75.88;0;28.4;20.1;19
1012.92;79.5;0;29.8;16.3;17
1011.49;78.5;0;29.6;16.3;15
1011.76;78.88;0;30.9;14.6;11
1011.18;76.13;0;30.5;14.9;13
1011.14;72.5;0;30.8;13.7;13
1011.92;70.38;0;30.4;11.6;13
1010.91;72.5;0;29.5;11.2;13
1010.91;72.5;0;29.4;11.2;13
1010.61;71.5;0;30.7;12.7;11
1010.21;74.13;0;30.7;13.6;13
1009.64;72;0;31.2;13.4;9
1010.09;70;0;31.6;12.7;13
1009.51;69.38;0;31.5;12.5;13
1010.61;75.5;0;29.8;14.1;15
1012.51;76.63;0;29.2;18.2;13
1014.34;77.38;0;28.7;18.5;19
1015.67;73.75;0;27.9;18.3;17
1014.52;72.75;0;29.4;16.4;13
1012.88;73.75;0;29.8;14.6;11
1012.75;73;0;30.2;14.5;13
1013.87;68.75;0;31;14.5;15
1015.59;71.13;0;32.4;14.6;11
1015.07;71.38;0;32;15.1;11
1014.48;69.5;0;32.3;16;13
1014.86;67;0;33.1;15.2;13
1014.37;70.25;0;31.8;17.4;17
1013.07;66.5;0;31.3;19.2;13
1013.42;74.75;0;28.7;18.4;22
1014.11;73.5;0;31.4;16.7;19
1016.25;73.25;0;29.1;16.7;15
1017.04;74.5;0;30;16.9;13
1014.95;71.75;0;30.5;16.7;13
1012.43;70.25;0;31.4;17.2;22
1012.78;58.63;0;32.3;18;13
1012.5;65.63;0;31.3;18.2;15
1010.49;65.63;0;31.9;17;22
1009.84;63.25;0;32.6;15.4;11
1010.58;60.88;0;33.1;14.6;19
1011.04;55.75;0;35.2;14.4;17
1010.59;58.63;0;34.6;17.8;19
1009.89;59.75;0;34.8;16.7;20
1010.23;62.5;0;34.5;18.4;17
1009.36;64.13;0;34.3;18.6;30
1009.35;61.25;0;35.5;18;17
1008.95;62.88;0;34.7;21.1;15
1008.2;61.25;0;34.8;23;24
1007.63;57.88;0;35.2;20.3;19
1007.26;55.25;0;35.5;17.3;19
1007.16;57.75;0;34.6;17.1;11
1008.24;58.88;0;34.2;17.6;11
1008.92;59.75;0;34.9;18.9;15
1010.05;62.5;0;33.7;21;17
1009.88;64;0;34.4;21;17
1009.57;59;0;34.8;19.1;19
1010.21;56.88;0;34.2;19.1;19
1010.15;56.25;0;35.9;19.9;13
1009.49;59.13;0;36;19.7;13
1009.74;54.25;0;38.1;20.2;17
1010.65;53.5;0;37.9;19.9;11
1008.73;54.5;0;37.2;19.7;15
1007.07;55.75;0;37.5;19.9;19
1005.23;54.25;0;37;20.1;15
1006.52;51.13;0;38;19.3;20
1009.02;56.75;0;36.1;21;26
1010.32;63.5;0;34.8;22;19
1007.6;58.25;0;35.9;21.2;15
1005.92;49.88;0;36.8;18.9;19
1006.84;49.63;0;38.7;18.3;19
1006.73;51;0;38.7;18.5;11
1005.99;55;0;38.3;20.3;19
1004.91;55.5;0;36.7;21.3;19
1004.16;46.75;0;38.2;20;32
1004.74;47.5;0;35.3;18.4;13
1004.92;52.13;0;35.8;18.5;19
1005.36;47.63;0;39;18.6;20
1006.12;45.13;0;38.9;18.6;22
1006.27;48.63;0;38.5;20.7;17
1006.78;50;0;38.1;20.9;28
1008.25;66.25;8.4;36.6;21.8;38
1010.88;82.13;9.6;28.3;21;46
1010.99;80.13;0;28.1;19.5;48
1009.68;73;0;33.2;20.5;13
1009.17;60.5;0;36.5;19.5;13
1009.36;56;0;36.5;20.5;19
1010.57;56;0;36.8;22.2;19
1009.26;53.63;0;37.1;21.5;15
1007.03;50.13;0;39.6;21.1;19
1007.04;52.88;1.7;40.5;22.7;35
1007.15;67.88;4.1;38.9;21.7;53
1007.2;70;0;38.5;20.9;50
1007.12;60.63;0;38.3;21.6;20
1006.74;52.25;0;39.4;22.6;22
1005.22;53.88;0;39.9;23.4;15
1003.59;52.88;0;39.6;25.5;17
1004.43;52.38;0;39.3;24.2;24
1004.79;61.63;3.9;37;21.2;63
1004.98;76.13;16.4;34.3;20.9;56
1003.78;79;0;36.1;20.5;28
1003.96;75;0;33.5;22.6;32
1008.73;73.75;2.9;35.5;22.2;17
1009.12;75.88;0;33.4;22.2;19
1007.04;70.25;0.2;36.5;22.9;45
1004.64;73.38;0;35.9;22.9;32
1004.52;65.38;0;37.2;21.6;17
1004.91;63.75;0;39.2;23;24
1005.4;73.63;73.9;37.8;21.3;37
1005.47;78.88;1.2;34.7;21.8;19
1005.16;80.38;40.6;36.5;22.3;30
1008.07;86.75;30.4;36.2;21.2;30
1007.56;89.38;29.7;30.9;20.8;32
1004.92;83.38;1.7;32.7;21.3;28
1007.18;72.75;0;37.9;20.5;13
1007.54;73.13;0;37.1;21.9;15
1007.59;70.13;0;36.1;22.9;17
1007.8;69.38;0;37.2;22.5;22
1007.83;68.25;0;35.6;23.5;22
1007.27;71;0;36.6;21;30
1006.54;67;0;37.3;23.4;26
1008.06;79;10.5;38;22.6;57
1007.81;84;0;36.5;23.2;32
1006.84;80.38;3;35.7;22.6;69
1009.39;88;0.5;33.7;22.5;52
1009.78;74;0;34.2;22.6;19
1008.82;66.88;0;37.1;22.4;19
1009.21;86;66.2;33.2;20.6;41
1010.69;86.75;1.3;24.8;19.1;43
1011.23;86.5;1.7;24;18.3;33
1010.32;88.5;0.6;27.4;19.5;15
1008.02;95.38;10.8;25.9;19.5;20
1006.57;88.5;0;30.2;20.1;17
1006.09;86;0.1;27.7;19.9;17
1004.89;89.63;23.5;32.3;21.6;28
1004.11;92.75;4.5;34.4;21.1;28
1004.01;85.25;19.7;35.9;23;28
1004.77;97;41.8;28.7;21.7;22
1006.06;90;0;32.3;21.8;19
1008.89;77.5;0;34.9;22.4;19
1008.64;81.13;0;35.6;22.9;54
1006.95;80.63;0;35.1;22.8;19
1005.19;78.13;0;36.2;23.7;19
1006.05;89.75;32.6;32.2;22.7;26
1007.59;90.5;2.7;32.3;21.7;33
1006.96;87.25;0.1;33.3;23.5;26
1005.62;85.75;45.6;34.3;22.9;58
1005.76;91.88;5.5;33.6;22.8;26
1005.46;84.63;1.6;33.2;23.1;37
1006.57;82.75;5.3;34.4;23.3;39
1006.63;80.5;0;32.3;23;22
1006.14;79.5;0;34.6;23.3;22
1005.49;78.38;0;34.2;23.5;22
1004.77;77.88;0;34.5;23.5;28
1005.85;77.13;0;34.1;23.8;20
1005.99;79.88;0.3;35;23.7;22
1005.1;84.5;1.4;34.4;23.2;22
1004.43;83.75;0;35.4;22.9;41
1004.44;76.13;0;35.9;23.2;24
1004.8;80.38;0;34;24.4;22
1004.39;78.38;0;38.2;24.3;24
1004.57;85;1.7;35.4;23.2;33
1003.74;83.5;5.5;37.4;23.2;43
1004.99;89.25;40.3;32.6;22.8;22
1006.5;92.13;32.8;31.7;22.4;22
1007.3;88.63;0.3;33.3;21.2;19
1005.79;81.75;4.7;33.9;23.5;17
1006.03;83.63;27.8;35;22.4;28
1006.58;82.5;1.2;34.2;21.6;17
1006.44;81.13;1.8;33.8;23.7;24
1006.35;85.38;1.2;32.5;23.1;19
1005.53;83.88;1.1;32.7;23.6;41
1005.15;82.75;0;34.2;22.4;33
1004.46;87.63;2.2;32;24.6;33
1004.44;81.38;0;31.4;23.8;32
1004.59;85;3.3;31.3;24.4;33
1004.35;86.63;0;30.3;23.9;22
1004.17;81.88;0;31.9;24.4;22
1002.9;84.5;6.5;32.6;24.3;20
1003.71;91.25;20.2;30.3;23.9;28
1004.16;97.25;3;26.8;23.2;17
1003.13;93.38;16;29.7;23.3;17
1003;90;0;28.8;23;19
1002.64;88;1;31.4;23.9;22
1002.41;84.63;0;32.7;24.1;24
1002.39;85.25;0;32.6;24.2;32
1002.36;85.25;0;31.1;24;19
1002.29;88.38;0.8;31.6;24.7;26
1002;83.5;0;32.3;23.5;24
1002.56;82.38;0;30.4;24.3;30
1002.56;85.5;1.5;32.5;24.3;17
1001.42;84.63;1.6;30.9;24.3;28
1003.88;84.75;1.3;28;24.1;24
1007.67;95.5;5.3;26.9;22.5;36
1007.52;94.38;10;28.6;22.3;17
1005.87;91.25;12.7;31.9;23.5;26
1005.96;86.25;0;30.5;23.3;17
1004.68;81.25;0;33.7;23;11
1004.39;80.5;3;35;24.3;30
1004.84;86.63;23;32.5;22.6;33
1007.16;92.88;9;30.1;23;33
1006.93;96.63;12;27.1;22.6;13
1004.15;90.5;0;30.2;22.6;15
1004.22;83.38;0;31.2;23.5;26
1004.91;88.5;96.4;29.5;23.9;17
1004.46;98.13;42.7;27.2;22.6;32
1005.88;91;16.8;29;22.8;19
1005.94;94.25;1.3;28.9;22.6;19
1004.74;90.63;1.9;30.1;22.9;28
1004.29;82.38;0;33.3;23;22
1004.4;78.75;0;34.1;22.6;26
1003.49;82.38;0;32.6;23.8;15
1001.83;83.5;0;32.9;23.8;32
1001.26;93.25;12.2;31.6;24.9;30
1002;89.38;0.1;31.4;24;41
1003.5;90.75;23.2;30.7;23.7;28
1004.16;88.38;7.4;30.6;23;22
1003.99;90.88;19.9;31;23.4;39
1003.52;94;31.2;31.2;23.1;28
1002.5;91.38;4.3;32;23.2;32
1001.01;86.25;4.5;33.3;23.2;32
1001.45;93.25;5.7;32.3;23.9;24
1003.67;89.13;0;32.3;23.7;32
1004.46;90.25;48.2;31.6;23.3;41
1005.54;93.13;0;29.1;24;17
1005.91;88.88;0;27.5;24.2;17
1007.72;91.38;3.4;27.9;23.4;19
1007.44;94;11.2;29;23.2;19
1006.65;90.13;0;31;23;15
1005.72;89.75;0;30.9;23.8;13
1005.53;92.25;10.6;33;23.6;19
1003.83;91.88;6.2;29.8;23.8;30
1003.84;93.13;13.1;30.8;23.6;28
1006.07;95.75;12.7;30.7;22.9;32
1007.44;90.38;3.4;31.4;23.1;28
1007.48;97.88;59.1;27.1;22.9;15
1005.57;99;45;24;22.6;13
1006.94;92;5.9;29.4;22.7;24
1008.58;85;0.9;31.5;21.9;19
1007.75;83.88;0;31.8;23.6;13
1006.21;79.13;0;35.4;22.8;17
1005.47;81.13;0;35.4;22.9;11
1005.79;82.38;7;32;24.7;19
1006;81.5;0;35.2;24.2;15
1006.09;79.63;0;35.2;24.7;33
1007.91;82.75;31.3;34;24.1;22
1009.45;88.25;27.8;31.4;23;24
1008.1;88;3.8;32.4;23.7;24
1008.4;90.13;6.9;35.8;24;22
1009.93;85.5;0.4;32.2;23.4;20
1009.19;79.13;0;34;23.9;19
1008.88;83.75;0;32.6;24.3;15
1009.63;88.13;0;30.3;24;28
1008.73;83.25;2.3;32.8;23.5;22
1007.96;85.38;1.7;31.9;23;30
1009.03;91.25;8;30.8;23.4;26
1010.45;93.38;14.4;29.6;22.6;22
1010.18;93;39.4;28.6;22.3;28
1008.84;90.63;13.9;29.7;22.9;19
1009;86.5;0;31.5;22.7;15
1008.27;82;0;32.9;22.8;15
1007.13;78.38;0;33.2;22.2;17
1004.39;88.75;3.2;30;24;26
1005.31;82.75;2.8;30.9;23.5;26
1008.13;95.25;21.3;29.7;23.6;17
1009.12;92.13;3.8;30.2;23.5;19
1008.04;82.5;0;34.7;23.4;11
1007.02;79.5;0;34.2;22.6;22
1005.09;76.63;3.3;35.2;22.9;28
1006.69;88.5;4;28.3;23.4;30
1007.26;96.38;11.3;27;23.1;19
1006.16;90;0.2;30.5;23.6;19
1006.58;89.75;9.7;30.8;23.6;17
1007.07;90.88;5.3;30.3;23.5;30
1008.86;90.38;24.4;30.5;22.4;22
1010.02;92.13;0.1;27.9;22.5;26
1011.31;84.5;2.4;30.9;22.9;19
1012.44;87.88;0;31.4;22.9;24
1013.65;90.13;9.2;30.6;22.9;13
1014.51;86;0;31.1;22.6;13
1013.14;85.38;0;31.7;22;13
1011.6;83.25;0;32;21.3;13
1012.1;81.25;0;32.9;21.5;15
1011.98;83.75;0;32.7;21.5;17
1011.48;82;0;33;22.2;24
1011.75;83.38;0;32.6;22.3;13
1013.42;82.25;0;31.9;22.2;19
1013.14;82.88;0;32.5;21.5;22
1012.7;82.38;0;32.4;21.2;11
1013;87.38;0;29.4;21.9;22
1013.61;84.63;0;32.2;19.7;13
1014.37;82.75;0;32;20.7;22
1014.41;80.75;0;32.8;20.5;15
1014.4;80;0;33.3;21;13
1013.07;81.75;0;32.8;21.2;15
1012.08;81.13;0;33.1;20.6;13
1012.38;81.13;0;32;20.6;15
1012.8;81.75;0;31.8;20.3;15
1013.23;77.13;0;31.5;20.3;19
1012.65;79.38;0;31.7;20;24
1012.59;78;0;32.3;17.7;13
1012.92;77.88;0;31.8;17.8;13
1011.92;81;0;31.1;18.3;11
1011.22;80;0;33;19.4;13
1013.38;83.88;0;29.2;20.6;20
1015.16;80.13;0;30.6;17.9;26
1015.7;79.38;0;31.7;18.7;15
1015.04;76.88;0;32.9;19.2;11
1014.08;79.13;0;32.7;19.5;15
1013.25;79.75;0;31.5;21.7;13
1011.7;82.25;0;31.7;20.7;15
1012.45;80.5;0;32.1;20.2;11
1013.31;81.63;0;30.8;19.9;11
1012.33;79.75;0;31.3;19.5;11
1011.17;78;0;31.8;19;13
1010.72;77.13;0;32.6;18.5;9
1010.28;78.88;0;32.7;18.6;11
1009.46;77.75;0;32.4;19.9;15
1008.57;74;0;32.4;18.9;17
1009.07;73.13;0;31.4;16.7;17
1010.45;71;0;30.8;14;11
1012.03;75.13;0;30.2;14;13
1011.44;74.88;0;30.7;14.1;13
1009.5;75;0;31.8;15.6;13
1010.12;73.5;0;32.4;16.3;15
1011.04;76.25;0;30;16.3;11
1011.76;78.38;0;30.9;16.3;17
1011.45;76.75;0;31.2;16.2;11
1011.29;74.75;0;31.3;15.8;11
1011.1;76;0;31.2;15.2;11
1012.06;81.13;0;31.7;17.6;13
1013.82;81;0;30.9;20;19
1014.44;79;0;30.9;19.7;15
1013.82;79;0;30.2;17.7;13
1013.04;80;0;31.2;17.8;11
1013.07;82.25;0;31;19;13
1013.41;79.88;0;32.1;20.4;11
1013.19;79.38;0;31.6;20.8;13
1011.86;75.13;0;32.3;21;15
1011.8;76.13;0;31.5;18.8;13
1012.6;76.88;0;31.5;17.9;9
1012.21;76.5;0;30.5;19.4;11
1012.14;76.63;0;30.3;18.5;15
1015.97;71.75;0;28.6;19.2;19
1016.74;60.38;0;26.8;20;32
1016.81;64.38;0;27.3;16.3;13
1017.9;66;0;27.3;16.9;20
1018.45;56.5;0;27.2;13.6;33
1017.91;51.38;0;26.8;13;28
1016.72;69.13;0;26.2;9.8;17
1015.84;68;0;26.1;10.5;13
1014.83;73.5;0;26.5;10.7;11
1013.99;72.13;0;25.9;11.4;11
1013.65;72;0;26.5;10.9;11
1013.75;74.13;0;28.4;11.1;11
1014.67;75;0;27.8;12.2;13
1015.15;75.13;0;27.6;13.8;13
1014.55;73.25;0;26.8;14.6;13
1014.17;71.5;0;28.2;15.4;22
1013.57;73.5;0;27.8;13.1;11
1013.19;76.5;0;27.9;13.4;11
1011.78;73.25;0;27.9;12.7;11
1012.1;74.88;0;28.9;12;11
1013.07;74.38;0;29.6;13.6;15
1015.11;74.38;0;31.4;15.2;9
1014.35;75.38;0;28.4;14.8;11
1015.58;72.5;0;28.9;16.8;15
1016.46;72.63;0;28.9;13.5;11
1015.86;75.25;0;28.5;14.3;11
1014.19;76.38;0;29.8;14.2;11
1014.06;73.5;0;29.9;14.6;11
1013.5;74.5;0;30.2;14.4;15
1012.71;76.25;0;31.2;15.1;11
1012.28;71.88;0;31.3;14.6;19
1012.66;66.38;0;31.5;13.7;15
1013.82;66.5;0;31.7;13.6;13
1013.34;61.88;0;32;13.1;9
1012.4;61;0;31.5;12.1;17
1011.46;55.5;0;30.9;12.7;13
1012.66;62.25;0;31.1;11.7;11
1013.5;63.88;0;31.3;11.9;11
1014.83;67.13;0;30.3;11.8;9
1014.45;77.25;0;31.1;17.4;15
1013.93;74.88;0;30.7;20.3;13
1013.51;71.75;0;31.4;17.7;22
1015.39;67.5;0;30.5;19.2;22
1019.01;75.13;0;24.6;18.4;32
1018.8;61;0;26.4;17.2;24
1017.93;66.38;0;29.2;13;19
1018.15;62.75;0;27.6;13.1;13
1018.39;64.88;0;27.2;12.5;15
1019.16;56.63;0;27.3;14.9;20
1018.35;60.63;0;25.5;13.2;11
1015.06;68.88;0;27.3;12;11
1013.94;66.13;0;29.1;12.5;11
1013.86;65.13;0;29.1;12.2;11
1014.77;64.88;0;30.6;13.7;9
1015.16;67;0;30.8;14;13
1014.97;66.25;0;33.3;16;15
1013.5;63.38;0;33.4;15.1;17
1013.13;64.75;0;32.1;15.8;11
1011.82;64.38;0;33.1;15.9;11
1010.6;61.38;0;33.9;16.6;17
1011.38;56.23;0;34.1;14.8;20
1011.03;53.25;0;32.6;17.6;19
1008.95;54.63;0;32.6;17.1;17
1008.94;58.38;0;32.5;17.7;13
1009.71;56.13;0;32.5;16;15
1009.2;57;0;33.3;15.9;17
1009.22;55.5;0;33.1;14.3;11
1009.67;53.25;0;34.5;14;11
1009.05;50.38;0;33.9;14.6;26
1008.16;50.5;0;34.6;14.9;11
1008.16;56.25;0;36.3;17;15
1007.18;59;0;36.5;18.6;19
1006.24;56.88;0;36.5;19.6;22
1006.44;52.5;0;36;19.9;17
1007.72;51.5;0;34;18.5;17
1007.83;51.5;0;34.5;16.5;11
1008.17;50.63;0;35.8;15.5;20
1008.67;49.6;0;34.8;15.8;15
1008.38;50.63;0;33.9;16.5;15
1008.35;53.5;0;34.8;16.2;13
1007.59;55.88;0;34.2;16.5;20
1005.89;44.75;0;35.6;14.8;24
1006.06;42.25;0;35;14.7;24
1009.88;42.38;0;34.6;15;24
1011.19;43.25;0;33.8;14.9;15
1010.79;45.13;0;34.6;14.5;11
1011.11;49.13;0;35.4;15.4;11
1010.1;54.13;0;34;16.7;13
1007.86;56.63;0;36.2;16.9;11
1005.66;49.63;0;37.2;18.7;15
1005.63;51.63;0;36.2;18.6;17
1005.13;50.88;0;34;20.5;15
1005.01;50.5;0;36.1;18.7;15
1007.36;53.25;0;35.8;19;15
1009.56;55;0;36.1;22.7;24
1011.45;59.13;0;33.5;20;43
1010.31;61;0;35;20.4;20
1009.28;51;0;35.7;19.9;19
1007.86;49.13;0;35.4;19.3;20
1005.41;53.88;0;37.6;20;15
1005.41;53.13;0;37.6;21.5;22
1006.97;50.63;0;38.7;21.2;15
1008.22;46.88;0;38;19.6;13
1007.66;51.25;0;38.6;21.3;13
1008.77;59.13;0;37.7;25.5;52
1008.51;60.38;0;37.8;22.7;19
1006.12;50.25;0;39.8;23.8;26
1005.25;43.25;0;39.6;22.5;28
1006.28;43.88;0;37.8;21;22
1008.44;46.63;0;36.9;19.9;24
1009.02;50;0;37.1;23;22
1009.22;51.63;0;36;23.2;15
1007.98;49.38;0;36.8;23.8;17
1008.13;51.75;0;36.5;23.6;17
1008.2;50.5;0;36.8;23.4;28
1008.66;50.63;0;36.6;23.4;19
1008.65;55.88;0;33.5;22.1;67
1008.46;65;0;35.8;24.1;30
1008.8;69.25;0;35.1;23;19
1009.25;67.5;0;32.5;24;17
1008.91;67.25;0;34.6;24.2;32
1008.07;58.13;0;34.6;23.3;22
1006.64;59.13;0;36.3;23.7;35
1008.31;68.63;9.1;38.9;23.3;54
1009.04;67.5;0;35.2;24.5;30
1008.04;60.13;0;37.5;23.3;24
1005.93;50.5;0;39.6;24.3;35
1005.48;50.38;0;39.6;25.6;28
1005.36;50.75;0;39.1;25.1;22
1004.41;50.25;0;39.1;24.4;17
1005.68;51.25;17.7;40.5;24.4;33
1010.45;76;10;34.9;22.1;37
1010.28;70.63;19.2;35.4;20.9;45
1009.43;76.88;0;31.6;21.3;19
1007.7;69.88;0;36;24.8;28
1009.29;68;0;36.2;23.2;39
1009.35;65.13;0;36.7;23.3;24
1009.54;75.13;0;31.1;25.1;24
1008.43;85.38;5.7;31.5;23.8;28
1008.64;97.75;32.3;25.3;23.1;11
1008.18;97.88;31.9;26.7;22.1;26
1007.97;97.5;15.8;25.2;22.2;19
1006.9;90.88;11.6;29.2;23;28
1006.65;90.13;9.9;31.2;22.2;24
1006.21;86.75;3.3;32.1;23.5;28
1005.98;84.63;20.2;33;24.3;22
1006.13;90.5;17.1;30.7;21.4;30
1007.81;93.13;35.7;30.1;23.3;30
1008.09;94.63;41.7;27.6;23.5;15
1007.23;91.63;11.7;29.9;22.7;32
1007.19;92.63;22.3;31.2;23.3;19
1007.88;85;2;32.2;22.3;19
1007.37;85.38;2.7;31.3;23.5;33
1007.06;85.75;0;31.1;23.6;22
1006.87;79.25;2.5;31.8;24.1;32
1007.25;87.13;2;28.3;22.8;15
1006.05;82.25;0;30.4;23.8;22
1005.27;80.38;0;31.3;24;30
