AveragePressure;AverageRelativeHumidity;DailyPrecipitation;MaximumTemperature;MinimumTemperature;WindSpeed
29.98;84;0.04;33;27;5.5
30.14;81;0.17;42;31;4
29.94;87;0.89;36;31;16
29.91;77;0;34;28;12
29.62;91;0.03;41;31;3.3
29.6;81;0;39;29;6
29.82;56;0;33;23;7.2
30.01;75;0.01;40;23;3.2
29.94;68;0;57;27;7.2
30.33;63;0;47;29;6.6
30.11;91;0.07;57;30;6.2
29.86;69;0.12;55;36;9.9
29.87;93;5;50;30;5.3
29.26;96;1.05;57;47;11.8
29.28;66;0.49;46;12;20.6
29.66;47;0;31;8;14.4
30.1;52;5;42;22;6.8
29.67;80;0.95;58;36;25
30.1;54;0;44;32;11
30.07;62;0;58;36;8.8
29.96;64;5;59;37;12.2
30.51;43;0;41;30;5.9
30.02;88;0.8;37;32;7.9
29.75;76;0;41;27;5.1
29.49;76;0.08;45;32;8.6
29.93;54;5;40;26;15.5
30.31;35;0;41;22;10.4
30.06;39;0;55;33;9.6
29.85;74;0.32;52;31;6.9
29.76;92;5;50;36;8.7
29.61;89;0.09;41;31;15.6
29.8;69;0;44;31;7.3
29.96;77;0;48;28;5.2
29.71;90;1.4;55;39;9.9
29.73;84;0.4;53;33;5.6
29.32;71;0.35;56;38;13.3
29.59;44;0;41;34;16.8
29.77;46;0;40;27;13.6
29.9;49;0;37;21;7.1
29.9;41;0;35;22;6.1
30.03;45;0;32;19;8.1
30.06;55;5;33;22;8.3
29.54;79;0.55;28;18;19.4
29.72;52;0;34;14;10.7
29.97;56;5;41;25;9.2
30.11;66;0;55;27;7.9
30.17;76;0;55;29;5.8
29.81;61;0.02;57;29;18.8
30.02;39;5;34;14;15.1
30.17;40;0;29;10;10.1
30.02;46;0;35;15;7.4
29.87;49;5;42;21;7
29.98;55;0;43;23;6.4
29.8;83;0.01;42;29;3.7
29.85;47;5;38;25;16.7
29.94;62;0.02;33;19;7.6
29.92;46;5;28;14;14.8
29.84;33;0;25;11;14.3
29.73;35;0;31;13;11.5
29.76;36;0;35;20;10.3
29.57;66;0.33;32;20;6.5
29.66;48;0;29;18;13.2
29.73;48;0;38;18;13.7
29.87;41;0;45;26;11.3
29.92;53;0;39;25;5
30.03;56;0;45;22;5.6
30.02;54;0;46;26;5.7
29.95;80;0.01;46;33;9.1
29.68;73;0;65;42;11.5
30.08;43;0;60;41;10.4
30.01;74;0.02;57;34;5.9
29.75;91;0.08;55;40;5.4
29.39;67;0.13;61;38;11.4
29.56;42;5;45;32;16.8
29.81;39;0;45;31;13.8
29.88;41;0;43;25;10
29.82;38;0;42;22;12.4
29.83;44;5;38;24;10.8
29.87;42;0;38;24;11.7
29.7;37;0;47;22;7.5
29.73;47;0;45;30;11.5
29.93;47;0;57;31;9.3
30.02;66;0;48;33;6.1
29.88;72;5;43;34;11.7
29.8;46;5;52;36;10.6
29.97;31;0;58;37;9.5
30.14;55;0;51;31;7.1
30.14;55;0;59;30;6.4
30.19;43;0;66;37;7
30.1;51;0;69;37;11.8
29.75;71;5;67;46;9.6
29.82;33;0;67;46;11.9
29.94;42;0.04;56;35;7.5
29.49;77;0.74;52;32;14.4
29.6;73;0.1;41;31;7.7
29.72;54;0;53;31;11.4
29.65;74;0.06;59;32;9.9
29.69;78;0.65;56;35;7.2
30;54;0;52;36;9.7
30.12;51;0;59;34;8.1
30.27;58;0;62;35;7.7
30.3;62;5;66;39;11.3
29.98;73;0.01;68;47;12.1
29.78;73;0.07;64;43;7.8
29.44;73;5;68;50;8.3
29.55;42;0;63;49;12.5
29.7;55;5;61;42;9.2
29.75;55;5;69;47;11.8
29.66;39;0.01;72;49;12.3
29.8;38;0;73;47;13.1
30.23;46;0;59;40;9.4
30.26;55;5;53;37;8.2
29.96;69;1.44;54;44;9.3
29.76;87;0.06;51;44;6.2
29.67;63;0.01;68;43;11.5
29.82;42;0;57;39;11
29.8;59;0;65;38;6.8
30.15;48;0;60;40;9.2
30.35;35;0;59;39;12.3
30.19;28;0;66;39;12.7
30.27;43;0.02;63;45;20.1
29.88;88;0.83;49;45;16.8
29.78;91;0.44;53;47;13.1
29.71;69;0;77;51;7.7
29.64;48;0;81;50;5.9
29.7;45;5;72;52;7.3
30.01;53;0;65;46;10.2
30.1;45;0;67;42;7.3
29.88;71;0.36;54;48;19.7
29.81;86;5;54;48;17.9
29.85;85;0.01;65;50;9.2
29.81;91;1.18;61;51;7.9
29.89;94;1.97;59;48;12.3
29.97;93;1.03;54;49;11.6
29.93;93;0.16;58;50;7.2
29.58;89;0.33;59;50;8.1
29.49;66;0;70;50;10.2
29.46;70;0;74;48;9.8
29.45;79;0.72;65;52;10.2
29.53;62;5;68;50;11.5
29.55;62;0.2;70;44;11.6
29.67;52;0;66;44;13.4
29.81;55;0;63;43;11.5
29.85;58;5;72;47;7
29.82;59;0;74;45;7.4
29.64;86;5;72;59;6.9
29.65;80;0.01;80;59;3.9
30.01;67;0;81;61;7.2
30.01;71;5;82;57;4.2
30.05;67;0;83;58;7.3
30.11;78;0;76;56;8.5
29.91;76;0.1;87;61;8.1
29.81;89;0.22;74;60;6.6
29.68;92;1.36;62;53;9.4
29.66;81;0.08;64;53;10.2
29.78;71;5;72;55;6.3
29.92;77;0.28;73;56;6.3
29.72;91;3.08;59;54;18.2
29.65;85;0.02;60;54;7.5
29.64;89;0.05;66;58;5.5
29.39;74;0.33;65;55;12.9
29.54;58;5;75;54;12.2
29.77;65;0;76;55;7.9
